ID,Time,API Call ID,Function Name,FADD.avg [inst],FADD.max [inst],FADD.min [inst],FADD.sum [inst],FFMA.avg [inst],FFMA.max [inst],FFMA.min [inst],FFMA.sum [inst],FMUL.avg [inst],FMUL.max [inst],FMUL.min [inst],FMUL.sum [inst]
172,2025-Nov-03 14:48:12,1230,horiz,600,960,0,19200,480,768,0,15360,0,0,0,0
173,2025-Nov-03 14:48:14,1232,vert,1920,2304,1536,61440,1840,2208,1472,58880,0,0,0,0
174,2025-Nov-03 14:48:15,1234,horiz,720,1152,0,23040,600,960,0,19200,0,0,0,0
175,2025-Nov-03 14:48:16,1236,vert,2400,2880,1920,76800,2320,2784,1856,74240,0,0,0,0
176,2025-Nov-03 14:48:17,1239,get_by_2_pick_every_second,18.75,30,0,600,0,0,0,0,0,0,0,0
177,2025-Nov-03 14:48:18,1241,horiz,240,640,0,7680,168,448,0,5376,0,0,0,0
178,2025-Nov-03 14:48:20,1243,vert,560,896,448,17920,520,832,416,16640,0,0,0,0
179,2025-Nov-03 14:48:21,1245,horiz,288,768,0,9216,216,576,0,6912,0,0,0,0
180,2025-Nov-03 14:48:22,1247,vert,720,1152,576,23040,680,1088,544,21760,0,0,0,0
181,2025-Nov-03 14:48:23,1249,horiz,312,832,0,9984,240,640,0,7680,0,0,0,0
182,2025-Nov-03 14:48:24,1251,vert,800,1280,640,25600,760,1216,608,24320,0,0,0,0
183,2025-Nov-03 14:48:25,1254,horiz,360,960,0,11520,288,768,0,9216,0,0,0,0
184,2025-Nov-03 14:48:27,1256,vert,960,1536,768,30720,920,1472,736,29440,0,0,0,0
185,2025-Nov-03 14:48:28,1258,horiz,432,1152,0,13824,360,960,0,11520,0,0,0,0
186,2025-Nov-03 14:48:29,1260,vert,1200,1920,960,38400,1160,1856,928,37120,0,0,0,0
187,2025-Nov-03 14:48:30,1262,make_dog,286720,288512,283136,9175040,0,0,0,0,0,0,0,0
188,2025-Nov-03 14:48:32,1264,make_dog,143360,145152,141568,4587520,0,0,0,0,0,0,0,0
189,2025-Nov-03 14:48:33,1266,make_dog,71680,71680,71680,2293760,0,0,0,0,0,0,0,0
190,2025-Nov-03 14:48:34,1268,make_dog,35840,37632,34048,1146880,0,0,0,0,0,0,0,0
191,2025-Nov-03 14:48:35,1270,make_dog,17920,17920,17920,573440,0,0,0,0,0,0,0,0
192,2025-Nov-03 14:48:36,1272,make_dog,8960,8960,8960,286720,0,0,0,0,0,0,0,0
193,2025-Nov-03 14:48:37,1274,make_dog,4480,5376,3584,143360,0,0,0,0,0,0,0,0
194,2025-Nov-03 14:48:39,1283,find_extrema_in_dog,250228.25,264667,233602,8007304,956.31,1682,490,30602,115950.16,122733,108294,3710405
195,2025-Nov-03 14:48:40,1286,find_extrema_in_dog,67068.25,74715,62042,2146184,870.16,1331,412,27845,29557.91,33133,27470,945853
196,2025-Nov-03 14:48:41,1289,find_extrema_in_dog,19832.62,21822,17284,634644,338.06,653,62,10818,7982.75,8902,6818,255448
197,2025-Nov-03 14:48:43,1292,find_extrema_in_dog,5328.75,6106,4696,170520,88.19,293,0,2822,1995.47,2232,1760,63855
198,2025-Nov-03 14:48:44,1295,find_extrema_in_dog,1454.94,1634,1298,46558,10.16,122,0,325,486.69,552,448,15574
199,2025-Nov-03 14:48:45,1298,find_extrema_in_dog,393.19,488,298,12582,5.38,61,0,172,123.66,164,96,3957
200,2025-Nov-03 14:48:46,1301,find_extrema_in_dog,216.44,294,88,6926,1.91,61,0,61,61.12,100,32,1956
201,2025-Nov-03 14:48:48,1306,ori_par,196.66,6293,0,6293,196.94,6302,0,6302,106.25,3400,0,3400
202,2025-Nov-03 14:48:49,1310,ori_par,502.09,9281,0,16067,485.22,8739,0,15527,271.06,4995,0,8674
203,2025-Nov-03 14:48:50,1314,ori_par,1841.03,21674,0,58913,1672.91,19116,0,53533,1025.06,12143,0,32802
204,2025-Nov-03 14:48:52,1318,ori_par,6473.56,42545,0,207154,5732.78,35621,0,183449,3498.22,23468,0,111943
205,2025-Nov-03 14:48:53,1322,ori_par,14174.66,39510,7424,453589,12671.03,33914,7367,405473,7598.81,21248,4060,243162
206,2025-Nov-03 14:48:54,1326,ori_par,45976.5,63490,28624,1471248,40919.09,55814,26662,1309411,24914.75,34272,15297,797272
207,2025-Nov-03 14:48:56,1330,ori_par,96207.81,142152,77632,3078650,84610.84,122894,68088,2707547,51131.25,76385,40701,1636200
208,2025-Nov-03 14:48:57,1332,ori_prefix_sum,0,0,0,0,0,0,0,0,0,0,0,0
209,2025-Nov-03 14:48:58,1337,ext_desc_vlfeat,1083.19,17398,0,34662,622.5,9960,0,19920,679.38,10882,0,21740
210,2025-Nov-03 14:49:00,1341,ext_desc_vlfeat,3471.09,42470,0,111075,1849,22880,0,59168,2171.19,27382,0,69478
211,2025-Nov-03 14:49:01,1345,ext_desc_vlfeat,16873.56,150208,0,539954,9555.25,81440,0,305768,10608.22,91948,0,339463
212,2025-Nov-03 14:49:03,1349,ext_desc_vlfeat,64269.91,349451,0,2056637,40544.62,202572,0,1297428,41909.62,214511,0,1341108
213,2025-Nov-03 14:49:04,1353,ext_desc_vlfeat,141717.44,392279,70056,4534958,93546.5,244156,47496,2993488,95074.5,254501,47945,3042384
214,2025-Nov-03 14:49:06,1357,ext_desc_vlfeat,539053.44,810457,322277,17249710,356304.75,548392,213820,11401752,361979.25,556534,219569,11583336
215,2025-Nov-03 14:49:08,1361,ext_desc_vlfeat,1029208.19,1335913,737683,32934662,672726.31,847316,482996,21527242,684843.41,874175,494935,21914989
216,2025-Nov-03 14:49:09,1365,normalize_histogram,3849.12,4573,2176,123172,3053.75,3738,1612,97720,6189.75,7322,3404,198072
217,2025-Nov-03 14:49:10,1373,prep_features,51.94,192,0,1662,164.47,608,0,5263,87.38,288,0,2796
218,2025-Nov-03 14:49:12,1391,compute_distance,1470942,1685376,1444608,47070144,490314,561792,481536,15690048,163450.22,187278,160524,5230407
